category,transaction_date,description,debit,credit,balance
Facilities:Utilities:Gas,2025-06-03,ENBRIDGE GAS OHIBILLPAY 250602,188.74,0,5876.06
Facilities:Utilities:Gas,2025-07-02,ENBRIDGE GAS OHIBILLPAY 250701,106.94,0,5983.00
Facilities:Utilities:Internet,2025-01-07,AT&T,110.27,0,1803.42
Facilities:Utilities:Internet,2025-02-10,AT&T,110.27,0,1913.69
Facilities:Utilities:Internet,2025-03-11,AT&T,110.27,0,2023.96
Facilities:Utilities:Internet,2025-04-08,AT&T,110.27,0,2134.23
Facilities:Utilities:Internet,2025-05-09,AT&T,110.27,0,2244.50
Facilities:Utilities:Internet,2025-06-09,AT&T,110.27,0,2354.77
Facilities:Utilities:Reimbursement,2025-02-07,Daycare utilities reimbursement,0,460.00,-3682.50
Facilities:Utilities:Reimbursement,2025-03-21,Daycare utilities reimbursement,0,200.00,-3882.50
Facilities:Utilities:Reimbursement,2025-04-04,Daycare utilities reimbursement,0,260.00,-4142.50
Facilities:Utilities:Reimbursement,2025-05-02,Daycare utilities reimbursement,0,460.00,-4602.50
Facilities:Utilities:Security,2025-01-15,GUARDIAN ALAR PAYMENT 250115,42.40,0,1234.06
Facilities:Utilities:Security,2025-02-18,GUARDIAN ALAR PAYMENT 250215,42.40,0,1276.46
Facilities:Utilities:Security,2025-03-17,GUARDIAN ALAR PAYMENT 250315,42.40,0,1318.86
Facilities:Utilities:Security,2025-04-15,GUARDIAN ALAR PAYMENT 250415,42.40,0,1361.26
Facilities:Utilities:Security,2025-05-15,GUARDIAN ALAR PAYMENT 250515,42.40,0,1403.66
Facilities:Utilities:Security,2025-06-16,GUARDIAN ALAR PAYMENT 250615,42.40,0,1446.06
Facilities:Utilities:Trash,2025-01-03,PURCHASE MAJOR WASTE,77.18,0,477.70
Facilities:Utilities:Trash,2025-02-03,PURCHASE MAJOR WASTE,77.18,0,554.88
Facilities:Utilities:Trash,2025-03-04,PURCHASE MAJOR WASTE,77.18,0,632.06
Facilities:Utilities:Trash,2025-04-01,PURCHASE MAJOR WASTE,77.18,0,709.24
Facilities:Utilities:Trash,2025-05-02,PURCHASE MAJOR WASTE,77.18,0,786.42
Facilities:Utilities:Trash,2025-06-02,PURCHASE MAJOR WASTE,77.18,0,863.60
Facilities:Utilities:Trash,2025-07-02,PURCHASE MAJOR WASTE,77.18,0,940.78
Facilities:Utilities:Water,2025-01-16,AQUA AQUA SERVI250116,29.89,0,580.20
Facilities:Utilities:Water,2025-02-18,AQUA AQUA SERVI250218,28.77,0,608.97
Facilities:Utilities:Water,2025-03-20,AQUA AQUA SERVI250320,27.10,0,636.07
Facilities:Utilities:Water,2025-04-17,AQUA AQUA SERVI250417,31.81,0,667.88
Facilities:Utilities:Water,2025-05-16,AQUA AQUA SERVI250516,37.57,0,705.45
Facilities:Utilities:Water,2025-06-20,AQUA AQUA SERVI250620,29.41,0,734.86
Ministry:Adult:Books,2025-05-08,PURCHASE AMAZON.COM*N,39.96,0,249.66
Ministry:Adult:RightNow Media,2025-01-15,PURCHASE RIGHTNOW MED,69.99,0,1189.83
Ministry:Adult:RightNow Media,2025-02-18,PURCHASE RIGHTNOW M*,69.99,0,1259.82
Ministry:Adult:RightNow Media,2025-03-17,PURCHASE RIGHTNOW M*,69.99,0,1329.81
Ministry:Adult:RightNow Media,2025-04-15,PURCHASE RIGHTNOW M*,69.99,0,1399.80
Ministry:Adult:RightNow Media,2025-05-15,PURCHASE RIGHTNOW M*,69.99,0,1469.79
Ministry:Adult:RightNow Media,2025-06-16,PURCHASE RIGHTNOW M*,69.99,0,1539.78
Ministry:Deacons & Elders:Care portal,2025-05-16,DON JONES PAYMENT 250516,267.41,0,756.42
Ministry:Hospitality:Congregational Meals and Events,2025-04-11,PURCHASE SAMS CLUB SA,7.48,0,1183.10
Ministry:Hospitality:Welcome Table,2025-02-06,PURCHASE SAMSCLUB.COM,69.90,0,1120.51
Ministry:Hospitality:Welcome Table,2025-02-12,PURCHASE SAMSCLUB.COM,58.54,0,1179.05
Ministry:Hospitality:Welcome Table,2025-03-17,PURCHASE SAMSCLUB #48,85.58,0,1264.63
Ministry:Hospitality:Welcome Table,2025-04-21,Dunkin' Donuts,15.00,0,1279.63
Ministry:Hospitality:Welcome Table,2025-04-21,Dunkin' Donuts,9.00,0,1288.63
Ministry:Hospitality:Welcome Table,2025-05-19,PURCHASE SAMSCLUB.COM,106.30,0,1394.93
Ministry:Pastoral:Meals/Entertainment,2025-01-21,PURCHASE TST*MARYS DI,20.88,0,545.56
Ministry:Pastoral:Meals/Entertainment,2025-02-03,PURCHASE TST* THE SPO,29.99,0,575.55
Ministry:Pastoral:Meals/Entertainment,2025-02-06,Panera Bread,23.57,0,599.12
Ministry:Pastoral:Meals/Entertainment,2025-03-24,PURCHASE MARCOS PIZZA,69.71,0,668.83
Ministry:Pastoral:Meals/Entertainment,2025-04-29,PURCHASE TST*MARYS DI,32.29,0,701.12
Ministry:Pastoral:Meals/Entertainment,2025-06-06,PURCHASE SAMS CLUB 56,157.25,0,858.37
Ministry:Pastoral:Meals/Entertainment,2025-06-24,PURCHASE IN *LAKE COU,786.50,0,1644.87
Ministry:Pastoral:Training,2025-03-20,PURCHASE LEAD WELL,20.00,0,1585.75
Ministry:Worship:Proclaim,2025-01-23,PURCHASE LOGOS,13.00,0,489.11
Ministry:Worship:Proclaim,2025-02-24,PURCHASE LOGOS,13.00,0,502.11
Ministry:Worship:Proclaim,2025-03-24,PURCHASE LOGOS,13.00,0,515.11
Ministry:Worship:Proclaim,2025-04-23,PURCHASE LOGOS,13.00,0,528.11
Ministry:Worship:Proclaim,2025-05-05,PURCHASE LOGOS,267.48,0,795.59
Ministry:Worship:Proclaim,2025-05-23,PURCHASE LOGOS,13.00,0,808.59
Ministry:Worship:Proclaim,2025-06-23,PURCHASE LOGOS,13.00,0,821.59
Mission/Outreach:Missions:Destiny Rescue,2025-01-13,PURCHASE DESTINY RESC,100.00,0,1800.00
Mission/Outreach:Missions:Destiny Rescue,2025-02-11,PURCHASE DESTINY RESC,100.00,0,1900.00
Mission/Outreach:Missions:Destiny Rescue,2025-03-11,PURCHASE DESTINY RESC,100.00,0,2000.00
Mission/Outreach:Missions:Destiny Rescue,2025-04-11,PURCHASE DESTINY RESC,100.00,0,2100.00
Mission/Outreach:Missions:Destiny Rescue,2025-05-12,PURCHASE DESTINY RESC,100.00,0,2200.00
Mission/Outreach:Missions:Destiny Rescue,2025-06-11,PURCHASE DESTINY RESC,100.00,0,2300.00
Mission/Outreach:Missions:Destiny Rescue,2025-06-30,Write a Descriptione,1500.00,0,3800.00
Mission/Outreach:Missions:FCA,2025-01-21,Fellowship of ChFellowship,100.00,0,1200.00
Mission/Outreach:Missions:FCA,2025-02-21,Fellowship of ChFellowship,100.00,0,1300.00
Mission/Outreach:Missions:FCA,2025-03-21,Fellowship of ChFellowship,100.00,0,1400.00
Mission/Outreach:Missions:FCA,2025-04-21,Fellowship of ChFellowship,100.00,0,1500.00
Mission/Outreach:Missions:FCA,2025-05-21,Fellowship of ChFellowship,100.00,0,1600.00
Mission/Outreach:Missions:FCA,2025-06-23,Fellowship of ChFellowship,100.00,0,1700.00
Mission/Outreach:Missions:Hope Force,2025-01-21,PURCHASE PY *HOPE FOR,35.38,0,600.62
Mission/Outreach:Missions:Hope Force,2025-02-21,PURCHASE PY *HOPE FOR,35.38,0,636.00
Mission/Outreach:Missions:Hope Force,2025-03-21,PURCHASE PY *HOPE FOR,35.38,0,671.38
Mission/Outreach:Missions:Hope Force,2025-04-21,PURCHASE PY *HOPE FOR,35.38,0,706.76
Mission/Outreach:Missions:Hope Force,2025-05-21,PURCHASE PY *HOPE FOR,35.38,0,742.14
Mission/Outreach:Missions:Hope Force,2025-06-23,PURCHASE PY *HOPE FOR,35.38,0,777.52
Mission/Outreach:Missions:Jeff Sivyer,2025-01-10,KEYBANK PAYMENT 250110,100.00,0,1601.00
Mission/Outreach:Missions:Jeff Sivyer,2025-02-10,KEYBANK PAYMENT 250210,100.00,0,1701.00
Mission/Outreach:Missions:Jeff Sivyer,2025-03-10,KEYBANK PAYMENT 250310,100.00,0,1801.00
Mission/Outreach:Missions:Jeff Sivyer,2025-04-10,KEYBANK PAYMENT 250410,100.00,0,1901.00
Mission/Outreach:Missions:Jeff Sivyer,2025-05-12,KEYBANK PAYMENT 250510,100.00,0,2001.00
Mission/Outreach:Missions:Jeff Sivyer,2025-06-10,KEYBANK PAYMENT 250610,100.00,0,2101.00
Mission/Outreach:Missions:Reliant - Jared Lentz,2025-01-06,RELIANT MISSION EFT GIFTS,150.00,0,1950.00
Mission/Outreach:Missions:Reliant - Jared Lentz,2025-02-05,RELIANT MISSION EFT GIFTS,150.00,0,2100.00
Mission/Outreach:Missions:Reliant - Jared Lentz,2025-03-05,RELIANT MISSION EFT GIFTS,150.00,0,2250.00
Mission/Outreach:Missions:Reliant - Jared Lentz,2025-04-07,RELIANT MISSION EFT GIFTS,150.00,0,2400.00
Mission/Outreach:Missions:Reliant - Jared Lentz,2025-05-05,RELIANT MISSION EFT GIFTS,150.00,0,2550.00
Mission/Outreach:Missions:Reliant - Jared Lentz,2025-06-05,RELIANT MISSION EFT GIFTS,150.00,0,2700.00
Mission/Outreach:Missions:World Vision,2025-01-27,PURCHASE WORLD VISION,105.00,0,1295.00
Mission/Outreach:Missions:World Vision,2025-02-26,PURCHASE WORLD VISION,105.00,0,1400.00
Mission/Outreach:Missions:World Vision,2025-03-26,PURCHASE WORLD VISION,105.00,0,1505.00
Mission/Outreach:Missions:World Vision,2025-04-28,PURCHASE WORLD VISION,105.00,0,1610.00
Mission/Outreach:Missions:World Vision,2025-05-27,PURCHASE WORLD VISION,105.00,0,1715.00
Mission/Outreach:Missions:World Vision,2025-06-26,PURCHASE WORLD VISION,105.00,0,1820.00
Nursery/Children's Ministry Payment,2025-06-09,NEW LIFE RENO PAYMENT 250609,960.00,0,960.00
Operating Expenses:Advertising:Website,2025-03-17,Zelle Transaction 2025031620,149.80,0,149.80
Operating Expenses:Bank:Bank,2025-02-18,ZELLE PAYMENTS RECEIVED FEE,0.50,0,217.10
Operating Expenses:Bank:Bank,2025-03-17,ZELLE PAYMENTS RECEIVED FEE,0.50,0,217.60
Operating Expenses:Bank:Bank,2025-04-15,ZELLE PAYMENTS SENT FEE,0.50,0,218.10
Operating Expenses:Bank:Bank,2025-04-15,ZELLE PAYMENTS RECEIVED FEE,0.50,0,218.60
Operating Expenses:Bank:Bank,2025-05-15,ZELLE PAYMENTS RECEIVED FEE,0.50,0,219.10
Operating Expenses:Bank:Bank,2025-06-16,ZELLE PAYMENTS RECEIVED FEE,0.50,0,219.60
Operating Expenses:Miscellaneous:Miscellaneous,2025-05-19,PURCHASE SAMS CLUB #4,41.33,0,41.33
Operating Expenses:Software:Planning Center,2025-01-07,PURCHASE PLANNINGCENT,30.00,0,506.08
Operating Expenses:Software:Planning Center,2025-02-07,PURCHASE PLANNINGCENT,30.00,0,536.08
Operating Expenses:Software:Planning Center,2025-03-07,PURCHASE PLANNINGCENT,30.00,0,566.08
Operating Expenses:Software:Planning Center,2025-04-07,PURCHASE PLANNINGCENT,30.00,0,596.08
Operating Expenses:Software:Planning Center,2025-05-07,PURCHASE PLANNINGCENT,30.00,0,626.08
Operating Expenses:Software:Planning Center,2025-06-09,PURCHASE PLANNINGCENT,30.00,0,656.08
Operating Expenses:Supplies:Cleaning,2025-01-06,HUNTINGTON NA PAYMENT 250106,16.05,0,316.39
Operating Expenses:Supplies:Cleaning,2025-03-04,PURCHASE MERCYHILLCHA,30.00,0,346.39
Operating Expenses:Supplies:Cleaning,2025-05-16,PURCHASE AMAZON MKTPL,32.83,0,379.22
Operating Expenses:Supplies:Office,2025-04-11,PURCHASE AMAZON.COM*0,44.99,0,1461.95
Operating Expenses:Supplies:Office,2025-04-18,PURCHASE AMAZON.COM*S,19.49,0,1481.44
Salary:Staff:Pastor,2025-01-02,Michael Kostelnik,1008.38,0,31526.36
Salary:Staff:Pastor,2025-01-16,CARDINAL CRED PAYMENT 250116,1008.38,0,32534.74
Salary:Staff:Pastor,2025-01-30,CARDINAL CRED PAYMENT 250130,1008.38,0,33543.12
Salary:Staff:Pastor,2025-02-13,CARDINAL CRED PAYMENT 250213,1008.38,0,34551.50
Salary:Staff:Pastor,2025-02-27,CARDINAL CRED PAYMENT 250227,1008.38,0,35559.88
Salary:Staff:Pastor,2025-03-13,CARDINAL CRED PAYMENT 250313,1008.38,0,36568.26
Salary:Staff:Pastor,2025-03-27,CARDINAL CRED PAYMENT 250327,1008.38,0,37576.64
Salary:Staff:Pastor,2025-04-10,CARDINAL CRED PAYMENT 250410,1008.38,0,38585.02
Salary:Staff:Pastor,2025-04-24,CARDINAL CRED PAYMENT 250424,1008.38,0,39593.40
Salary:Staff:Pastor,2025-05-08,CARDINAL CRED PAYMENT 250508,1008.38,0,40601.78
Salary:Staff:Pastor,2025-05-22,CARDINAL CRED PAYMENT 250522,1008.38,0,41610.16
Salary:Staff:Pastor,2025-06-05,CARDINAL CRED PAYMENT 250605,1008.38,0,42618.54
Salary:Staff:Pastor,2025-06-20,CARDINAL CRED PAYMENT 250619,1008.38,0,43626.92
Salary:Staff:Pastor,2025-07-03,CARDINAL CRED PAYMENT 250703,1008.38,0,44635.30
Salary:Staff:Praise Leader,2025-01-24,WELLS FARGO B PAYMENT 250124,400.00,0,4400.00
Salary:Staff:Praise Leader,2025-02-24,WELLS FARGO B PAYMENT 250224,400.00,0,4800.00
Salary:Staff:Praise Leader,2025-03-24,WELLS FARGO B PAYMENT 250324,400.00,0,5200.00
Salary:Staff:Praise Leader,2025-04-24,WELLS FARGO B PAYMENT 250424,400.00,0,5600.00
Salary:Staff:Praise Leader,2025-05-27,WELLS FARGO B PAYMENT 250524,400.00,0,6000.00
Salary:Staff:Praise Leader,2025-06-24,WELLS FARGO B PAYMENT 250624,400.00,0,6400.00
